generation;fitness;score;genome
0;0;0;1000010000000000000000100000011000001010000100000110000000001001000010001000000000000000001000100000001101001100100001001000000000010010010000100000100100000100101000011010000100100000000000010001101110001000000100000000100101000000001000010001001010001100001000010001000000010110000000100000110010100000001010100100010100000000000000000001101001001010000000000000000101010000000000100001000000000000;
0;0;0;0000001000000000000000010000000011000000000000100001000000011000100000010000000000010000110001100110000100001000100000000000101010101100010010000000010000100010000001100100000000000000000100100000100000000100000100000000101101001000000000000001010000010110001000001000100000000000010000000001000000001001100000010000001011000000000101000000000101100000011101010001110000010000010000000101010000100010;
1;0.133333;0;1000010000000100000100001000101110110000000000000000000000000000000100000100000000010000000010000000100010100000000011010010000100001000100000000001001001000000000000011000000100001000000100100000010101100010001000010000000100000010000100000000000010000100000000000001001001000010010001000110000100001000000000000000010000100010000000010000000010000100100000000100001000000100000010100000100010000000;
1;0.133333;0;1000010000000110000100001000101110110000000000000000000000000000000100000101000000010000000010000000100010100000000011010010000100001000100000000000001001000000000000011000000100001000000100100000010101100010001000010000000100000010000100000000000010000100000000000001001001000010010001000110000100001000000000000001000000000010000000010000000010000100100000000000001000000100000010100000100110000000;
1;0.122222;0;1000010000000100000100001000101110110000000000000000000000000000000100000100000000010000000010000000100010100000000011010010000100001000110000000000001001000000000000011000000100001000000100100000010101100010001000010000000000000010000100000000000010000100000000010001001001000010010001100110000100001000000000000000000000000010000000010000000010000100100000000000001000000100000010100000100010000000;
1;0.122222;0;1000010000000100000100001000101110110100000000000000000000000000000100000100000000010000000010000000100010100000000011010010000100001000100000000000000001000000000000011000000100001000000100100000010101100010001000010000000100000010000100000000000010000100000000000001001001000000010001000110000100001000000000000000000000000010000000010000000110000100100000000000001000000100000010100000100010000000;
1;0.111111;0;1000010000000100000100001000101110110000000000000000000000000010000100000100000000010000000010000000100010100000000011010010000100001000100000000000001001000000000000011000000100001000000100100000010101100010000000010000000100000010100100000000000010000100000000000001001001000010010001000110000100001000000001000000000000000010000000010000000010000100100000000000001000000100000010100000100010000000;
1;0.111111;0;1000010000000100000100001000101110110000000000000000000000000000000100000100000000010000000010000000100010100000000011010000000100001000100000000000001001000000000000011000000100001000000100100000010101100010001000010000000100000010000100000000000010000100010000000011001001000010010001000110000100001100000000000000000000000010000000010000000010000100100000000000001000000100000010100000100010000000;
1;0.111111;0;1000010000000100000100001000101110110000000000000000000000000000000100000100000000010000000010000000100010100000000011010010000100001000100000000000101001000000000000011000000100001000000100100000010101100010001000010000000100000010100100000000000010000100000000000001001001001010010001000110000100001000000000000000000000000010000000010000000010000100100000000000001000000100000010000000100010000000;
1;0.111111;0;1000010000000100000100001000101110110000000000000000000100000000000100000100000000010000000010000000100010100000000011010010000000001000100000000000001001000000000000011000000100001000000100100000010101100010001000010000000100000110000100000000000010000100000000000001001001000010010001000110000100001000000000000000000000000010000000010000000010010100100000000000001000000100000010100000100010000000;
1;0.111111;0;1000010000000100000100001000101110110000000000000000000000000000000100000100000000010000000010000000100010100000000011010010000100001000100000000000001001000000000000011000000100001000000100100000010101100010001000010000000100000010000100000000000010000100000000000001001001000010010001000110000100001000000000000000000000000010000000010000000010000100100000000000001000000100000010100000100010000000;
1;0.111111;0;1000010000000100000100001000101110110000000000001000000000000000000100000100000000010000000010000000100010100000000011010010000100001000100000000000001001000000000000011000000100001000000100000000010101100010101000010000000100000010000100000000000010000100000000000001001001000010010001000110000100001000000000000010000000000010000000010000000010000100100000000000001000000100000010100000100010000000;
1;0.111111;0;1000010000000100000100001000101110110000000000000000000000000000000100000100000000010000000010000000100010100000000011011010000100001000100000000000001001000000000000011000000100001000000100100000010101100010001000010000000100000010000100000000000010000100000000000000001001000010010001000110010100001000000000000000000000000010000000010000000010000100100000000000000000000100000010100000100010000000;
1;0.111111;0;1000010000000100000100001000101010110000000000000000000000000000000100000100000000010000010010000000100010100000000011010010000100001000100000000000001001000000010000011000000100001000000100100000010101100010001000010000000100000010000100000000000010000100000000000001001001000010010001000110000100001000000000000000000000000010000000110000000010000100100000000000001000000100000010100000100010000000;
1;0.111111;0;1000010000000100000100001000101110110000000000000000000000000000000100000100000000010000000010000000100010100000000011010010000100001000100000000000001001000000000000011000000000001001000100100000010101100010001000010000000100000010000100000000000010000100000000000001001001000010010001000010000100001000010000000000000000000010000000010000000010000100100000000000001000000100000010100000100010000000;
1;0.1;0;1000010000000100000110001000101110110000000000000000000001000000000100000100000000010000000010000000100010100000000011010010000100001000100000000000001001000000000000011000000100001000000100100000010101100010001000010000000100000010000100000000000010000100000000000001001001000010010001000110000100001000000000000000000100000010000000010000000010000100100000000000001001000100000010100000100010000000;
1;0.0888889;0;1000010000000100000100001000101110110000000000000000000000000000010100000100000000010000000010000000100010100000000011010010000100001000100000000000001001000000001000011000000100001000000100100000010101100010001000010000000100000010000100000000000010000100000000000001101001000010010001000110010100001000000000000000000000000010000000010000000010000100100000000000001000000100000010100000100010000000;
1;0.0888889;0;1000010000000100000100001000101110110000000000000000000000000000000100000100000000110000000010000000100010100000000011010010000100001000100000000000001001000000000000011000000100001000000100100000010101101010001000010000000100000010000100000000000010000100000000000001001001000010010001000110000100001000000000000000001000000010000000010000000010000100100000010000001000000100000010100000100010000000;
